Country,Deaths_per_1Mpop,Date,Month_Key,Insolation_Average,Cloud_Fraction,CENTR_latitude,CENTR_longitude,LogDeaths_per_1Mpop,Month_Fct2020
Finland,2,2020-03-31,2020-03,288.57916546246577,0.34337549674379103,61.92411,25.748151,0.3010299956639812,Mar
France,46,2020-03-31,2020-03,349.8339124657642,0.46558355435953,46.227638,2.213749,1.662757831681574,Mar
Germany,8,2020-03-31,2020-03,346.3706034892314,0.4453873879066459,51.165691,10.451526,0.9030899869919435,Mar
Greece,4,2020-03-31,2020-03,319.7586471984918,0.19896386633227497,39.074208,21.824312,0.6020599913279624,Mar
Hungary,2,2020-03-31,2020-03,345.85481431749133,0.05215123470838147,47.162494,19.503304,0.3010299956639812,Mar
Ireland,11,2020-03-31,2020-03,316.8756247300368,0.6782091343058989,53.41291,-8.24389,1.041392685158225,Mar
Italy,192,2020-03-31,2020-03,331.93316095385023,0.3291073958766897,41.87194,12.56738,2.2833012287035497,Mar
Latvia,NA,2020-03-31,2020-03,293.3164147738753,0.32309999938668876,56.879635,24.603189,NA,Mar
Lithuania,3,2020-03-31,2020-03,300.289577089507,0.29149602084798587,55.169438,23.881275,0.47712125471966244,Mar
Luxembourg,35,2020-03-31,2020-03,355.65833536783856,0.5198333313067754,49.815273,6.129583,1.5440680443502757,Mar
Malta,NA,2020-03-31,2020-03,345.375,0.04137500072829425,35.937496,14.375416,NA,Mar
Moldova,0.5,2020-03-31,2020-03,295.2735713777088,0.24407738096834647,47.411631,28.369885,-0.3010299956639812,Mar
Montenegro,2,2020-03-31,2020-03,331.22214017595564,0.09921428614429065,42.708678,19.374389999999998,0.3010299956639812,Mar
Netherlands,50,2020-03-31,2020-03,340.36698670820755,0.5754545469853011,52.132633,5.291266,1.6989700043360187,Mar
North_Macedonia,3,2020-03-31,2020-03,336.9431753447561,0.058166667028810036,41.62,21.719,0.47712125471966244,Mar
Norway,6,2020-03-31,2020-03,318.7471481481992,0.3686312823828157,60.472024,8.468946,0.7781512503836436,Mar
Poland,0.8,2020-03-31,2020-03,334.8140580635539,0.19440579728130977,51.919438,19.145136,-0.09691001300805639,Mar
